N,Best Case,Worst Case, Average Case
88,1,15,10.477272727272727
89,1,15,10.52808988764045
90,1,15,10.533333333333333
91,1,15,10.56043956043956
92,1,15,10.58695652173913
93,1,15,10.612903225806452
94,1,15,10.638297872340425
95,1,15,10.663157894736843
96,1,15,10.666666666666666
97,1,15,10.690721649484535
98,1,15,10.714285714285714
99,1,15,10.696969696969697
100,1,15,10.72
101,1,15,10.742574257425742
102,1,15,10.764705882352942
103,1,15,10.766990291262136
104,1,15,10.76923076923077
105,1,15,10.790476190476191
106,1,15,10.81132075471698
107,1,15,10.83177570093458
108,1,15,10.851851851851851
109,1,15,10.871559633027523
110,1,15,10.89090909090909
111,1,15,10.927927927927929
112,1,15,10.946428571428571
113,1,15,10.982300884955752
114,1,15,11.017543859649123
115,1,15,11.034782608695652
116,1,15,11.068965517241379
117,1,15,11.085470085470085
118,1,15,11.11864406779661
119,1,15,11.15126050420168
120,1,15,11.166666666666666
121,1,15,11.198347107438016
122,1,15,11.229508196721312
123,1,15,11.260162601626016
124,1,15,11.290322580645162
125,1,15,11.304
126,1,15,11.333333333333334
127,1,15,11.362204724409448
128,1,15,11.390625
129,1,15,11.418604651162791
130,1,15,11.430769230769231
131,1,15,11.458015267175572
132,1,15,11.469696969696969
133,1,15,11.496240601503759
134,1,15,11.522388059701493
135,1,15,11.548148148148147
136,1,15,11.573529411764707
137,1,15,11.583941605839415
138,1,15,11.608695652173912
139,1,15,11.633093525179856
140,1,15,11.657142857142857
141,1,15,11.680851063829786
142,1,15,11.690140845070422
143,1,15,11.713286713286713
144,1,15,11.73611111111111
145,1,15,11.758620689655173
146,1,15,11.780821917808218
147,1,15,11.802721088435375
148,1,15,11.824324324324325
149,1,15,11.845637583892618
150,1,15,11.866666666666667
151,1,17,11.900662251655628
152,1,17,11.921052631578947
153,1,17,11.928104575163399
154,1,17,11.948051948051948
155,1,17,11.96774193548387
156,1,17,12.0
157,1,17,12.019108280254777
158,1,17,12.037974683544304
159,1,17,12.056603773584905
160,1,17,12.075
161,1,17,12.093167701863354
162,1,17,12.098765432098766
163,1,17,12.104294478527608
164,1,17,12.109756097560975
165,1,17,12.127272727272727
166,1,17,12.144578313253012
167,1,17,12.161676646706587
168,1,17,12.166666666666666
169,1,17,12.171597633136095
170,1,17,12.188235294117646
171,1,17,12.2046783625731
172,1,17,12.220930232558139
173,1,17,12.236994219653178
174,1,17,12.25287356321839
175,1,17,12.257142857142858
176,1,17,12.261363636363637
177,1,17,12.27683615819209
178,1,17,12.292134831460674
179,1,17,12.318435754189943
180,1,17,12.344444444444445
181,1,17,12.359116022099448
182,1,17,12.373626373626374
183,1,17,12.387978142076502
184,1,17,12.402173913043478
185,1,17,12.416216216216217
186,1,17,12.43010752688172
187,1,17,12.443850267379679
188,1,17,12.457446808510639
189,1,17,12.470899470899472
190,1,17,12.494736842105263
191,1,17,12.507853403141361
192,1,17,12.520833333333334
193,1,17,12.533678756476684
194,1,17,12.54639175257732
195,1,17,12.558974358974359
196,1,17,12.571428571428571
197,1,17,12.583756345177665
198,1,17,12.606060606060606
199,1,17,12.618090452261306
200,1,17,12.64
201,1,17,12.661691542288557
202,1,17,12.673267326732674
203,1,17,12.694581280788178
204,1,17,12.715686274509803
205,1,17,12.726829268292683
206,1,17,12.74757281553398
207,1,17,12.758454106280194
208,1,17,12.76923076923077
209,1,17,12.779904306220097
210,1,17,12.8
211,1,17,12.800947867298579
212,1,17,12.820754716981131
213,1,17,12.84037558685446
214,1,17,12.850467289719626
215,1,17,12.869767441860466
216,1,17,12.88888888888889
217,1,17,12.898617511520737
218,1,17,12.917431192660551
219,1,17,12.926940639269406
220,1,17,12.945454545454545
221,1,17,12.95475113122172
222,1,17,12.963963963963964
223,1,17,12.964125560538116
224,1,17,12.973214285714286
225,1,17,12.982222222222223
226,1,19,13.008849557522124
227,1,19,13.017621145374449
228,1,19,13.035087719298245
229,1,19,13.043668122270743
230,1,19,13.052173913043479
231,1,19,13.06060606060606
232,1,19,13.068965517241379
233,1,19,13.07725321888412
234,1,19,13.085470085470085
235,1,19,13.102127659574467
236,1,19,13.11864406779661
237,1,19,13.135021097046414
238,1,19,13.142857142857142
239,1,19,13.150627615062762
240,1,19,13.15
241,1,19,13.16597510373444
242,1,19,13.181818181818182
243,1,19,13.181069958847736
244,1,19,13.19672131147541
245,1,19,13.212244897959184
246,1,19,13.227642276422765
