N,Best Case,Worst Case, Average Case
89,1,17,11.651685393258427
90,1,17,11.677777777777777
91,1,17,11.714285714285714
92,1,17,11.728260869565217
93,1,17,11.763440860215054
94,1,17,11.77659574468085
95,1,17,11.789473684210526
96,1,17,11.84375
97,1,17,11.88659793814433
98,1,17,11.918367346938776
99,1,17,11.95959595959596
100,1,17,11.97
101,1,17,12.0
102,1,17,12.009803921568627
103,1,17,12.0
104,1,17,12.009615384615385
105,1,17,12.019047619047619
106,1,17,12.028301886792454
107,1,17,12.065420560747663
108,1,17,12.101851851851851
109,1,17,12.110091743119266
110,1,17,12.136363636363637
111,1,17,12.18018018018018
112,1,17,12.1875
113,1,17,12.212389380530974
114,1,17,12.236842105263158
115,1,17,12.269565217391305
116,1,17,12.293103448275861
117,1,17,12.316239316239317
118,1,17,12.338983050847459
119,1,17,12.361344537815127
120,1,17,12.366666666666667
121,1,17,12.388429752066116
122,1,17,12.40983606557377
123,1,17,12.43089430894309
124,1,17,12.451612903225806
125,1,17,12.456
126,1,17,12.492063492063492
127,1,17,12.511811023622048
128,1,17,12.53125
129,1,17,12.550387596899224
130,1,17,12.576923076923077
131,1,17,12.610687022900763
132,1,17,12.613636363636363
133,1,17,12.646616541353383
134,1,17,12.67910447761194
135,1,17,12.696296296296296
136,1,18,12.735294117647058
137,1,18,12.766423357664234
138,1,18,12.782608695652174
139,1,18,12.798561151079136
140,1,18,12.835714285714285
141,1,18,12.851063829787234
142,1,18,12.852112676056338
143,1,18,12.881118881118882
144,1,18,12.909722222222221
145,1,18,12.944827586206896
146,1,18,12.95890410958904
147,1,18,12.993197278911564
148,1,18,13.027027027027026
149,1,18,13.04026845637584
150,1,18,13.066666666666666
151,1,18,13.092715231788079
152,1,18,13.105263157894736
153,1,18,13.117647058823529
154,1,18,13.12987012987013
155,1,18,13.141935483870968
156,1,18,13.166666666666666
157,1,18,13.178343949044587
158,1,18,13.189873417721518
159,1,18,13.213836477987421
160,1,18,13.225
161,1,18,13.236024844720497
162,1,18,13.246913580246913
163,1,18,13.245398773006135
164,1,18,13.24390243902439
165,1,18,13.254545454545454
166,1,18,13.265060240963855
167,1,18,13.293413173652695
168,1,18,13.321428571428571
169,1,18,13.34319526627219
170,1,18,13.352941176470589
171,1,18,13.362573099415204
172,1,18,13.383720930232558
173,1,18,13.393063583815028
174,1,18,13.413793103448276
175,1,18,13.428571428571429
176,1,18,13.443181818181818
177,1,18,13.468926553672317
178,1,18,13.48876404494382
179,1,18,13.508379888268156
180,1,18,13.527777777777779
181,1,18,13.535911602209945
182,1,18,13.543956043956044
183,1,18,13.562841530054644
184,1,18,13.58695652173913
185,1,18,13.594594594594595
186,1,18,13.618279569892474
187,1,18,13.62566844919786
188,1,18,13.643617021276595
189,1,18,13.65079365079365
190,1,18,13.66842105263158
191,1,18,13.69109947643979
192,1,18,13.697916666666666
193,1,18,13.720207253886011
194,1,18,13.737113402061855
195,1,18,13.753846153846155
196,1,18,13.760204081632653
197,1,18,13.781725888324873
198,1,18,13.797979797979798
199,1,18,13.814070351758794
200,1,18,13.83
201,1,18,13.845771144278608
202,1,18,13.866336633663366
203,1,20,13.89655172413793
204,1,20,13.911764705882353
205,1,20,13.93170731707317
206,1,20,13.946601941747574
207,1,20,13.951690821256038
208,1,20,13.966346153846153
209,1,20,13.985645933014354
210,1,20,14.014285714285714
211,1,20,14.018957345971565
212,1,20,14.033018867924529
213,1,20,14.046948356807512
214,1,20,14.051401869158878
215,1,20,14.065116279069768
216,1,20,14.092592592592593
217,1,20,14.110599078341014
218,1,20,14.123853211009175
219,1,20,14.146118721461187
220,1,20,14.159090909090908
221,1,20,14.171945701357465
222,1,20,14.18918918918919
223,1,20,14.197309417040358
224,1,20,14.209821428571429
225,1,20,14.222222222222221
226,1,20,14.243362831858407
227,1,20,14.255506607929515
228,1,20,14.276315789473685
229,1,20,14.279475982532752
230,1,20,14.295652173913043
231,1,20,14.311688311688311
232,1,20,14.323275862068966
233,1,20,14.334763948497853
234,1,20,14.346153846153847
235,1,20,14.357446808510637
236,1,20,14.38135593220339
237,1,20,14.40084388185654
238,1,20,14.411764705882353
239,1,20,14.422594142259415
240,1,20,14.433333333333334
241,1,20,14.443983402489627
242,1,20,14.454545454545455
243,1,20,14.448559670781894
244,1,20,14.459016393442623
