N,Best Case,Worst Case, Average Case
73,0,2,1.9726027397260273
74,0,2,1.972972972972973
75,0,2,1.9733333333333334
76,0,2,1.9736842105263157
77,0,2,1.974025974025974
78,0,2,1.9743589743589745
79,0,2,1.9746835443037976
80,0,2,1.975
81,0,2,1.9753086419753085
82,0,2,1.975609756097561
83,0,2,1.9759036144578312
84,0,2,1.9761904761904763
85,0,2,1.9764705882352942
86,0,2,1.9767441860465116
87,0,2,1.9770114942528736
88,0,2,1.9772727272727273
89,0,2,1.9775280898876404
90,0,2,1.9777777777777779
91,0,2,1.978021978021978
92,0,2,1.9782608695652173
93,0,2,1.978494623655914
94,0,2,1.9787234042553192
95,0,2,1.9789473684210526
96,0,2,1.9791666666666667
97,0,2,1.9793814432989691
98,0,2,1.9795918367346939
99,0,2,1.97979797979798
100,0,2,1.98
101,0,2,1.9801980198019802
102,0,2,1.9803921568627452
103,0,2,1.9805825242718447
104,0,2,1.9807692307692308
105,0,2,1.980952380952381
106,0,2,1.9811320754716981
107,0,2,1.9813084112149533
108,0,2,1.9814814814814814
109,0,2,1.981651376146789
110,0,2,1.981818181818182
111,0,2,1.981981981981982
112,0,2,1.9821428571428572
113,0,2,1.9823008849557522
114,0,2,1.9824561403508771
115,0,2,1.982608695652174
116,0,2,1.9827586206896552
117,0,2,1.982905982905983
118,0,2,1.9830508474576272
119,0,2,1.9831932773109244
120,0,2,1.9833333333333334
121,0,2,1.9834710743801653
122,0,2,1.9836065573770492
123,0,2,1.983739837398374
124,0,2,1.9838709677419355
125,0,2,1.984
126,0,2,1.9841269841269842
127,0,2,1.984251968503937
128,0,2,1.984375
129,0,2,1.9844961240310077
130,0,2,1.9846153846153847
131,0,2,1.984732824427481
132,0,2,1.9848484848484849
133,0,2,1.9849624060150375
134,0,2,1.9850746268656716
135,0,2,1.9851851851851852
136,0,2,1.9852941176470589
137,0,2,1.9854014598540146
138,0,2,1.9855072463768115
139,0,2,1.985611510791367
140,0,2,1.9857142857142858
141,0,2,1.9858156028368794
142,0,2,1.9859154929577465
143,0,2,1.986013986013986
144,0,2,1.9861111111111112
145,0,2,1.986206896551724
146,0,2,1.9863013698630136
