N,Best Case,Worst Case, Average Case
208,2,28,16.759615384615383
209,2,28,16.74641148325359
210,2,30,16.80952380952381
211,2,30,16.824644549763033
212,2,30,16.839622641509433
213,2,30,16.863849765258216
214,2,30,16.85981308411215
215,2,30,16.88372093023256
216,2,30,16.935185185185187
217,2,30,16.930875576036865
218,2,30,16.954128440366972
219,2,30,17.004566210045663
220,2,30,17.054545454545455
221,2,30,17.058823529411764
222,2,30,17.063063063063062
223,2,30,17.05829596412556
224,2,30,17.0625
225,2,30,17.066666666666666
226,2,32,17.13274336283186
227,2,32,17.145374449339208
228,2,32,17.140350877192983
229,2,32,17.179039301310045
230,2,32,17.2
231,2,32,17.22077922077922
232,2,32,17.224137931034484
233,2,32,17.236051502145923
234,2,32,17.28205128205128
235,2,32,17.293617021276596
236,2,32,17.322033898305083
237,2,32,17.341772151898734
238,2,32,17.33613445378151
239,2,32,17.355648535564853
240,2,32,17.366666666666667
241,2,32,17.369294605809127
242,2,32,17.380165289256198
243,2,32,17.382716049382715
244,2,32,17.385245901639344
245,2,32,17.37142857142857
246,2,32,17.414634146341463
247,2,32,17.425101214574898
248,2,32,17.43548387096774
249,2,32,17.46987951807229
250,2,32,17.504
251,2,32,17.51394422310757
252,2,32,17.547619047619047
253,2,32,17.557312252964426
254,2,32,17.566929133858267
255,2,32,17.584313725490198
256,2,32,17.6171875
257,2,32,17.634241245136188
258,2,32,17.643410852713178
259,2,32,17.66023166023166
260,2,32,17.7
261,2,32,17.708812260536398
262,2,32,17.740458015267176
263,2,32,17.74144486692015
264,2,32,17.765151515151516
265,2,32,17.81132075471698
266,2,32,17.834586466165412
267,2,32,17.850187265917604
268,2,32,17.83582089552239
269,2,32,17.828996282527882
270,2,32,17.85185185185185
271,2,32,17.85239852398524
272,2,32,17.875
273,2,32,17.89010989010989
274,2,32,17.912408759124087
275,2,32,17.956363636363637
276,2,32,17.97826086956522
277,2,32,17.971119133574007
278,2,32,17.992805755395683
279,2,32,17.985663082437277
280,2,32,18.014285714285716
281,2,32,18.01423487544484
282,2,32,18.02836879432624
283,2,32,18.021201413427562
284,2,32,18.06338028169014
285,2,32,18.063157894736843
286,2,32,18.062937062937063
287,2,32,18.083623693379792
288,2,32,18.07638888888889
289,2,32,18.08304498269896
290,2,32,18.117241379310343
291,2,32,18.10996563573883
292,2,32,18.116438356164384
293,2,32,18.14334470989761
294,2,32,18.163265306122447
295,2,32,18.189830508474575
296,2,32,18.20945945945946
297,2,32,18.208754208754208
298,2,32,18.221476510067113
299,2,32,18.22742474916388
300,2,32,18.233333333333334
301,2,32,18.259136212624586
302,2,32,18.264900662251655
303,2,32,18.297029702970296
304,2,32,18.32236842105263
305,2,32,18.340983606557376
306,2,32,18.366013071895424
307,2,32,18.39087947882736
308,2,32,18.4025974025974
309,2,32,18.39482200647249
310,2,32,18.38064516129032
311,2,32,18.392282958199356
312,2,32,18.371794871794872
313,2,32,18.383386581469647
314,2,32,18.401273885350317
315,2,32,18.43174603174603
316,2,32,18.474683544303797
317,2,32,18.485804416403784
318,2,32,18.49056603773585
319,2,32,18.50783699059561
320,2,32,18.5
321,2,32,18.50467289719626
322,2,32,18.509316770186334
323,2,32,18.507739938080494
324,2,32,18.493827160493826
325,2,32,18.498461538461537
326,2,32,18.50920245398773
327,2,32,18.54434250764526
328,2,32,18.548780487804876
329,2,32,18.559270516717326
330,2,32,18.575757575757574
331,2,32,18.604229607250755
332,2,32,18.626506024096386
333,2,32,18.61861861861862
334,2,32,18.652694610778443
335,2,32,18.66268656716418
336,2,32,18.696428571428573
337,2,32,18.729970326409497
338,2,32,18.76923076923077
339,2,32,18.78466076696165
340,2,32,18.811764705882354
341,2,32,18.84457478005865
342,2,32,18.859649122807017
343,2,32,18.862973760932945
344,2,32,18.848837209302324
345,2,32,18.87536231884058
346,2,32,18.872832369942195
347,2,32,18.910662824207492
348,2,32,18.913793103448278
349,2,32,18.911174785100286
350,2,32,18.914285714285715
351,2,32,18.91168091168091
352,2,32,18.90909090909091
353,2,32,18.93484419263456
354,2,32,18.949152542372882
355,2,32,18.980281690140846
356,2,32,18.97752808988764
357,2,32,18.952380952380953
358,2,32,18.98324022346369
359,2,32,18.969359331476323
360,2,32,18.97222222222222
361,2,32,18.997229916897506
362,2,32,19.011049723756905
363,2,32,19.013774104683197
364,2,32,19.016483516483518
365,2,32,19.019178082191782
366,2,32,19.02185792349727
367,2,32,19.029972752043598
368,2,32,19.03804347826087
369,2,34,19.07859078590786
370,2,34,19.0972972972973
371,2,34,19.110512129380055
372,2,34,19.129032258064516
373,2,34,19.142091152815013
374,2,34,19.144385026737968
375,2,34,19.157333333333334
376,2,34,19.164893617021278
377,2,34,19.156498673740053
378,2,34,19.164021164021165
379,2,34,19.187335092348285
380,2,34,19.205263157894738
381,2,34,19.212598425196852
382,2,34,19.225130890052355
383,2,34,19.237597911227155
384,2,34,19.239583333333332
